,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
89,10.0,32,10,"[18, 7, 14, 2, 11, 19, 11, 12, 17, 1, 5, 2, 15, 17, 10, 8, 6, 6, 4, 1]",7.296006483000383,7,2048
90,7.0,64,10,"[18, 7, 14, 2, 11, 19, 0, 12, 17, 1, 5, 2, 15, 17, 10, 8, 6, 18, 4, 1]",7.387686357000348,7,2048
91,6.0,128,10,"[18, 7, 14, 2, 11, 19, 0, 12, 17, 1, 5, 2, 15, 17, 10, 8, 16, 18, 4, 1]",7.505833616000018,7,2048
92,4.0,256,10,"[18, 7, 14, 2, 11, 19, 0, 12, 17, 1, 5, 2, 15, 17, 3, 8, 16, 18, 4, 9]",7.679826061998028,7,2048
93,3.0,512,10,"[18, 7, 14, 2, 11, 19, 0, 12, 6, 1, 5, 2, 15, 17, 3, 8, 16, 18, 4, 9]",7.971674634998635,7,2048
94,3.0,1024,10,"[18, 7, 14, 2, 11, 19, 0, 12, 6, 1, 5, 2, 15, 17, 3, 8, 16, 18, 4, 9]",8.381267687000218,7,2048
95,3.0,2048,10,"[18, 7, 14, 2, 11, 19, 0, 12, 6, 1, 5, 2, 15, 17, 3, 8, 16, 18, 4, 9]",8.381267687000218,7,2048
96,22.0,0,10,"[12, 4, 5, 4, 17, 3, 17, 3, 2, 9, 11, 0, 6, 15, 6, 14, 14, 0, 3, 2]",8.452512980999018,8,2048
97,21.0,2,10,"[12, 4, 10, 4, 17, 3, 17, 3, 2, 9, 11, 0, 6, 15, 6, 14, 14, 0, 3, 2]",8.455227131998981,8,2048
98,20.0,4,10,"[12, 4, 10, 4, 17, 3, 17, 3, 2, 18, 11, 0, 6, 15, 6, 14, 14, 0, 3, 2]",8.527533460997802,8,2048
99,16.0,8,10,"[12, 4, 10, 4, 17, 3, 17, 3, 2, 18, 9, 0, 6, 15, 6, 14, 14, 0, 3, 4]",8.600698761998501,8,2048
100,13.0,16,10,"[12, 4, 10, 4, 17, 3, 17, 3, 2, 18, 9, 0, 6, 15, 6, 14, 14, 0, 3, 16]",8.678677584997786,8,2048
101,10.0,32,10,"[12, 4, 10, 4, 9, 3, 17, 3, 2, 18, 9, 0, 2, 15, 6, 11, 14, 0, 3, 16]",8.764245901998947,8,2048
102,8.0,64,10,"[12, 4, 10, 4, 9, 3, 17, 17, 2, 18, 9, 0, 2, 15, 6, 11, 14, 0, 3, 16]",8.866657421996933,8,2048
103,6.0,128,10,"[12, 4, 10, 4, 9, 3, 17, 17, 2, 18, 9, 0, 2, 15, 6, 11, 14, 5, 13, 16]",8.993851171999268,8,2048
104,5.0,256,10,"[12, 4, 10, 4, 9, 3, 17, 17, 8, 18, 9, 0, 2, 15, 6, 11, 14, 5, 13, 16]",9.182687671996973,8,2048
105,2.0,512,10,"[12, 4, 10, 7, 9, 3, 19, 17, 8, 18, 9, 0, 2, 15, 6, 11, 1, 5, 13, 16]",9.491087299000355,8,2048
106,2.0,1024,10,"[12, 4, 10, 7, 9, 3, 19, 17, 8, 18, 9, 0, 2, 15, 6, 11, 1, 5, 13, 16]",9.902122837000206,8,2048
107,2.0,2048,10,"[12, 4, 10, 7, 9, 3, 19, 17, 8, 18, 9, 0, 2, 15, 6, 11, 1, 5, 13, 16]",9.902122837000206,8,2048
108,19.0,0,10,"[3, 11, 9, 0, 2, 5, 1, 19, 19, 2, 5, 11, 7, 3, 15, 15, 13, 4, 19, 18]",9.979192205999425,9,2048
109,19.0,2,10,"[3, 11, 9, 0, 2, 5, 1, 19, 19, 2, 5, 11, 7, 3, 15, 15, 13, 4, 19, 18]",9.981460045997665,9,2048
110,18.0,4,10,"[3, 11, 9, 0, 2, 5, 1, 19, 19, 2, 2, 11, 7, 3, 15, 15, 13, 4, 19, 18]",10.060526283999934,9,2048
111,15.0,8,10,"[6, 11, 9, 0, 2, 5, 1, 19, 19, 2, 2, 11, 7, 3, 15, 19, 13, 4, 19, 18]",10.141462219999084,9,2048
112,15.0,16,10,"[6, 11, 9, 0, 2, 5, 1, 19, 19, 2, 2, 11, 7, 3, 15, 19, 13, 4, 19, 18]",10.226320482997835,9,2048
113,10.0,32,10,"[6, 11, 9, 0, 2, 5, 1, 19, 19, 11, 15, 11, 7, 3, 17, 19, 13, 4, 19, 18]",10.323574160996941,9,2048
114,9.0,64,10,"[6, 11, 9, 0, 2, 5, 1, 19, 19, 11, 15, 11, 7, 3, 17, 19, 8, 4, 19, 18]",10.43215454899837,9,2048
